Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Cause_of_accident,Accident_severity
2024-10-05 13:12:00,Saturday,31-50,Male,Elementary school,Above 10yr,Pick up upto 10Q,Owner,Above 10yr,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Turnover,Passenger,Female,Over 51,3.0,No priority to vehicle,Slight Injury
2024-10-05 18:50:00,Saturday,Under 18,Male,Junior high school,5-10yr,Automobile,Owner,Above 10yr,Unknown,Residential areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Moving Backward,,,,,Changing lane to the left,Slight Injury
2024-10-05 18:50:00,Saturday,31-50,Male,Elementary school,2-5yr,Other,Owner,Unknown,No defect,Other,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,,,,,No distancing,Slight Injury
2024-10-05 16:35:00,Saturday,18-30,Male,Junior high school,2-5yr,Lorry (41-100Q),Other,Unknown,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Passenger,Female,Over 51,3.0,Driving under the influence of drugs,Slight Injury
2024-10-05 16:35:00,Saturday,31-50,Male,Junior high school,Above 10yr,Public (13-45 seats),Owner,5-10yrs,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Passenger,Female,18-30,3.0,Changing lane to the left,Slight Injury
2024-10-05 19:30:00,Sunday,31-50,Male,Junior high school,2-5yr,Pick up upto 10Q,Owner,Above 10yr,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,,,,,Changing lane to the right,Slight Injury
2024-10-05 19:30:00,Sunday,31-50,Male,Junior high school,Below 1yr,Stationwagen,Owner,2-5yrs,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Reversing,,,,,Driving to the left,Slight Injury
2024-10-05 07:50:00,Saturday,18-30,Male,Junior high school,2-5yr,Other,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Female,31-50,3.0,Driving at high speed,Slight Injury
2024-10-05 07:50:00,Saturday,18-30,Male,Junior high school,Above 10yr,Pick up upto 10Q,Governmental,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Male,Under 18,3.0,Overtaking,Slight Injury
2024-10-05 23:05:00,Monday,Over 51,Male,Junior high school,2-5yr,Public (13-45 seats),Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Female,31-50,3.0,Changing lane to the right,Slight Injury
2024-10-05 23:05:00,Monday,Under 18,Male,Elementary school,Above 10yr,Public (12 seats),Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3.0,Changing lane to the right,Slight Injury
2024-10-05 16:00:00,Monday,18-30,Male,Elementary school,Above 10yr,Lorry (41-100Q),Owner,Unknown,No defect,Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Getting off,Passenger,Male,18-30,3.0,Moving Backward,Serious Injury
2024-10-05 07:52:00,Monday,18-30,Male,Elementary school,Above 10yr,Pick up upto 10Q,Governmental,Unknown,No defect,Other,One way,Tangent road with flat terrain,Other,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Going straight,,,,,Moving Backward,Serious Injury
2024-10-05 07:52:00,Monday,18-30,Male,Junior high school,Above 10yr,Lorry (41-100Q),Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Going straight,Driver or rider,Male,18-30,3.0,Changing lane to the left,Serious Injury
2024-10-05 10:35:00,Thursday,18-30,Male,Junior high school,Below 1yr,Pick up upto 10Q,Owner,1-2yr,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,,,,,Moving Backward,Slight Injury
2024-10-05 10:35:00,Thursday,18-30,Male,Elementary school,5-10yr,Long lorry,Owner,Below 1yr,Unknown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,,,,,No distancing,Slight Injury
2024-10-05 12:30:00,Thursday,31-50,Male,Junior high school,2-5yr,Other,Other,Unknown,Unknown,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Reversing,Passenger,Male,Over 51,3.0,Moving Backward,Slight Injury
2024-10-05 19:58:00,Wednesday,31-50,Male,Junior high school,Above 10yr,Other,Owner,5-10yrs,Unknown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,Female,31-50,2.0,Changing lane to the right,Slight Injury
2024-10-05 19:58:00,Wednesday,31-50,Male,Junior high school,Below 1yr,Other,Governmental,Unknown,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,Under 18,2.0,Changing lane to the left,Slight Injury
2024-10-05 15:00:00,Wednesday,31-50,Male,Junior high school,2-5yr,Public (13-45 seats),Owner,5-10yrs,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,,,,,No priority to vehicle,Slight Injury
2024-10-05 15:00:00,Wednesday,Under 18,Male,Junior high school,Above 10yr,Special vehicle,Owner,Above 10yr,Unknown,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3.0,No distancing,Slight Injury
2024-10-05 08:08:00,Wednesday,31-50,Male,Writing & reading,2-5yr,Lorry (41-100Q),Owner,1-2yr,No defect,Other,Other,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Going straight,Driver or rider,Female,18-30,3.0,No priority to vehicle,Slight Injury
2024-10-05 08:08:00,Wednesday,Under 18,Male,Junior high school,2-5yr,Lorry (41-100Q),Owner,2-5yrs,Unknown,Office areas,One way,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Passenger,Female,Under 18,3.0,Driving under the influence of drugs,Slight Injury
2024-10-05 08:00:00,Tuesday,31-50,Male,High school,2-5yr,Public (> 45 seats),Owner,Unknown,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,31-50,3.0,Changing lane to the right,Slight Injury
2024-10-05 08:00:00,Tuesday,18-30,Male,Junior high school,1-2yr,Automobile,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Turnover,Pedestrian,Male,18-30,2.0,No distancing,Slight Injury
2024-10-05 23:00:00,Saturday,Unknown,Male,High school,5-10yr,Automobile,Organization,2-5yrs,Unknown,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,1,1,Going straight,Pedestrian,Male,Under 18,3.0,No distancing,Serious Injury
2024-10-05 21:55:00,Thursday,18-30,Male,Elementary school,2-5yr,Automobile,Owner,Unknown,No defect,Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,O Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Other,Pedestrian,Male,18-30,3.0,Changing lane to the left,Slight Injury
2024-10-05 21:55:00,Thursday,18-30,Male,Junior high school,1-2yr,Public (> 45 seats),Governmental,Unknown,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,O Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,18-30,3.0,Changing lane to the right,Slight Injury
2024-10-05 19:10:00,Thursday,31-50,Male,Elementary school,1-2yr,Lorry (11-40Q),Owner,Unknown,No defect,Office areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,Under 18,3.0,Changing lane to the right,Slight Injury
2024-10-05 19:10:00,Thursday,18-30,Male,High school,No Licence,Pick up upto 10Q,Governmental,Below 1yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Going straight,Driver or rider,Female,18-30,3.0,Driving under the influence of drugs,Slight Injury
2024-10-05 12:40:00,Thursday,Unknown,Male,Junior high school,5-10yr,Lorry (11-40Q),Owner,Unknown,No defect,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Rollover,1,1,Going straight,,,,,Moving Backward,Slight Injury
2024-10-05 20:44:00,Friday,31-50,Male,Junior high school,1-2yr,Pick up upto 10Q,Owner,Unknown,Unknown,Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Going straight,,,,,Changing lane to the left,Slight Injury
2024-10-05 20:44:00,Friday,18-30,Male,Junior high school,2-5yr,Special vehicle,Owner,Unknown,Unknown,Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Passenger,Female,18-30,3.0,No priority to pedestrian,Slight Injury
2024-10-05 13:00:00,Saturday,Over 51,Male,Junior high school,5-10yr,Lorry (11-40Q),Owner,2-5yrs,No defect,Residential areas,Undivided Two way,Steep grade downward with mountainous terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,,,,,No distancing,Slight Injury
2024-10-05 13:00:00,Saturday,18-30,Male,Unknown,Unknown,Other,Other,Unknown,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,Female,18-30,2.0,No distancing,Slight Injury
2024-10-05 09:30:00,Sunday,31-50,Male,Unknown,Unknown,Other,Other,Unknown,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,1,1,Other,,,,,Changing lane to the left,Slight Injury
2024-10-05 16:36:00,Monday,18-30,Male,Junior high school,2-5yr,Lorry (41-100Q),Owner,1-2yr,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,2,Going straight,Driver or rider,Male,Over 51,3.0,Changing lane to the right,Slight Injury
2024-10-05 16:36:00,Monday,18-30,Male,Junior high school,Above 10yr,Other,Owner,Above 10yr,No defect,Outside rural areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Other,Driver or rider,Female,31-50,3.0,Driving carelessly,Slight Injury
2024-10-05 08:00:00,Wednesday,Unknown,Male,Junior high school,Above 10yr,Other,Owner,Above 10yr,No defect,Church areas,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Turnover,,,,,No distancing,Serious Injury
2024-10-05 14:00:00,Wednesday,18-30,Male,Unknown,Unknown,Automobile,Owner,Unknown,No defect,Office areas,Other,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Getting off,,,,,Changing lane to the left,Slight Injury
2024-10-05 14:00:00,Wednesday,Unknown,Male,Elementary school,Above 10yr,Other,Owner,Above 10yr,Unknown,Church areas,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,Over 51,3.0,Moving Backward,Slight Injury
2024-10-05 18:20:00,Wednesday,31-50,Male,Unknown,Unknown,Automobile,Other,Unknown,Unknown,Office areas,Other,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,18-30,3.0,No distancing,Slight Injury
2024-10-05 08:30:00,Wednesday,18-30,Male,Junior high school,5-10yr,Public (13-45 seats),Governmental,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,,,,,No priority to pedestrian,Slight Injury
2024-10-05 08:30:00,Wednesday,Unknown,Male,Junior high school,Above 10yr,Lorry (41-100Q),Owner,1-2yr,No defect,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Turnover,,,,,Changing lane to the left,Slight Injury
2024-10-05 13:32:00,Wednesday,18-30,Male,High school,Above 10yr,Other,Owner,Below 1yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Reversing,Driver or rider,Female,31-50,3.0,No distancing,Serious Injury
2024-10-05 13:32:00,Wednesday,Unknown,Male,Unknown,Unknown,Automobile,Owner,Unknown,No defect,Office areas,Other,Tangent road with mountainous terrain and,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,2,Moving Backward,Driver or rider,Male,31-50,3.0,Driving carelessly,Serious Injury
2024-10-05 16:25:00,Wednesday,31-50,Male,Elementary school,Above 10yr,Lorry (41-100Q),Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,Over 51,2.0,Changing lane to the right,Slight Injury
2024-10-05 16:25:00,Wednesday,Unknown,Male,Junior high school,Below 1yr,Other,Owner,Unknown,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Passenger,Male,18-30,2.0,Moving Backward,Slight Injury
2024-10-05 19:09:00,Friday,18-30,Male,Junior high school,2-5yr,Lorry (41-100Q),Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,O Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Passenger,Male,Under 18,2.0,No priority to vehicle,Slight Injury
2024-10-05 19:09:00,Friday,18-30,Male,Junior high school,2-5yr,Taxi,Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,O Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Male,18-30,2.0,No priority to pedestrian,Slight Injury
2024-10-05 13:20:00,Thursday,Unknown,Male,High school,5-10yr,Lorry (41-100Q),Owner,Unknown,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,,,,,Changing lane to the left,Serious Injury
2024-10-05 18:50:00,Thursday,Over 51,Male,Junior high school,Unknown,Lorry (41-100Q),Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,18-30,3.0,Changing lane to the left,Slight Injury
2024-10-05 18:50:00,Thursday,Unknown,Male,Unknown,Below 1yr,Other,Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,Over 51,3.0,Driving under the influence of drugs,Slight Injury
2024-10-05 18:05:00,Thursday,31-50,Male,Elementary school,Above 10yr,Stationwagen,Owner,Unknown,No defect,Office areas,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,,,,,Moving Backward,Slight Injury
2024-10-05 18:05:00,Thursday,31-50,Male,Elementary school,Below 1yr,Stationwagen,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,,,,,Changing lane to the right,Slight Injury
2024-10-05 11:30:00,Wednesday,31-50,Male,Junior high school,5-10yr,Lorry (41-100Q),Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,3,1,Other,,,,,Changing lane to the right,Slight Injury
2024-10-05 11:30:00,Wednesday,Under 18,Male,Junior high school,5-10yr,Lorry (41-100Q),Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,3,1,Moving Backward,,,,,No distancing,Slight Injury
2024-10-05 11:30:00,Wednesday,31-50,Male,Unknown,Unknown,Other,Owner,2-5yrs,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,3,1,Going straight,,,,,Moving Backward,Slight Injury
2024-10-05 18:45:00,Saturday,31-50,Male,Junior high school,1-2yr,Automobile,Owner,2-5yrs,Unknown,Residential areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,Male,Under 18,3.0,No distancing,Slight Injury
2024-10-05 18:45:00,Saturday,18-30,Male,High school,5-10yr,Other,Owner,2-5yrs,Unknown,School areas,Undivided Two way,Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3.0,Driving carelessly,Slight Injury
2024-10-05 10:34:00,Sunday,31-50,Male,Junior high school,5-10yr,Taxi,Owner,2-5yrs,Unknown,Residential areas,Undivided Two way,Tangent road with mild grade and flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Moving Backward,Driver or rider,Female,18-30,3.0,No priority to pedestrian,Slight Injury
2024-10-05 19:38:00,Monday,31-50,Male,Junior high school,5-10yr,Lorry (41-100Q),Owner,2-5yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Other,,,,,No priority to vehicle,Slight Injury
2024-10-05 18:33:00,Monday,31-50,Male,Junior high school,5-10yr,Other,Owner,Unknown,No defect,Church areas,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,,,,,Moving Backward,Slight Injury
2024-10-05 18:33:00,Monday,18-30,Male,Junior high school,Above 10yr,Automobile,Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,18-30,3.0,Changing lane to the right,Slight Injury
2024-10-05 20:00:00,Monday,31-50,Male,Junior high school,5-10yr,Public (> 45 seats),Owner,2-5yrs,No defect,Other,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Female,31-50,3.0,No distancing,Slight Injury
2024-10-05 18:30:00,Wednesday,18-30,Male,Junior high school,No Licence,Stationwagen,Owner,5-10yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Male,Over 51,3.0,Driving carelessly,Slight Injury
2024-10-05 18:30:00,Wednesday,Unknown,Male,Above high school,Below 1yr,Automobile,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Driver or rider,Male,18-30,3.0,Changing lane to the left,Slight Injury
2024-10-05 16:25:00,Tuesday,31-50,Male,Elementary school,5-10yr,Lorry (41-100Q),Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,,,,,Moving Backward,Slight Injury
2024-10-05 16:25:00,Tuesday,31-50,Male,Elementary school,5-10yr,Other,Owner,Unknown,No defect,Office areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,Female,Over 51,3.0,No distancing,Slight Injury
2024-10-05 17:35:00,Tuesday,18-30,Male,Junior high school,5-10yr,Public (13-45 seats),Owner,Unknown,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Moving Backward,,,,,Changing lane to the right,Slight Injury
2024-10-05 17:35:00,Tuesday,18-30,Male,High school,5-10yr,Other,Owner,Unknown,No defect,Office areas,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Pedestrian,Male,Over 51,2.0,No priority to vehicle,Slight Injury
2024-10-05 07:48:00,Wednesday,31-50,Male,Junior high school,5-10yr,Other,Owner,Unknown,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,,,,,Getting off the vehicle improperly,Slight Injury
2024-10-05 07:48:00,Wednesday,18-30,Male,Junior high school,2-5yr,Ridden horse,Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,,,,,No distancing,Slight Injury
2024-10-05 15:15:00,Saturday,Unknown,Male,Writing & reading,5-10yr,Lorry (41-100Q),Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,18-30,3.0,No distancing,Slight Injury
2024-10-05 18:08:00,Saturday,18-30,Male,Junior high school,Above 10yr,Lorry (41-100Q),Owner,Unknown,No defect,Office areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3.0,Changing lane to the left,Slight Injury
2024-10-05 18:08:00,Saturday,18-30,Male,Junior high school,1-2yr,Pick up upto 10Q,Owner,Unknown,No defect,School areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Passenger,Male,Under 18,3.0,No priority to vehicle,Slight Injury
2024-10-05 14:44:00,Friday,18-30,Male,Writing & reading,Below 1yr,Lorry (11-40Q),Owner,Unknown,Unknown,Residential areas,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Female,31-50,3.0,Driving carelessly,Slight Injury
2024-10-05 10:13:00,Friday,31-50,Male,Elementary school,1-2yr,Automobile,Owner,Unknown,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Rollover,1,1,Going straight,Driver or rider,Female,31-50,3.0,Changing lane to the right,Slight Injury
2024-10-05 17:30:00,Friday,18-30,Male,Junior high school,5-10yr,Automobile,Owner,Unknown,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,31-50,3.0,No distancing,Slight Injury
2024-10-05 17:30:00,Friday,Unknown,Female,Junior high school,1-2yr,Lorry (11-40Q),Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,,,,,Changing lane to the right,Slight Injury
2024-10-05 13:30:00,Friday,31-50,Male,Elementary school,5-10yr,Motorcycle,Owner,2-5yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,Male,18-30,3.0,No distancing,Slight Injury
2024-10-05 13:30:00,Friday,31-50,Male,Junior high school,2-5yr,Lorry (41-100Q),Owner,Unknown,Unknown,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Pedestrian,Female,18-30,3.0,Driving under the influence of drugs,Slight Injury
2024-10-05 10:00:00,Thursday,18-30,Male,Junior high school,Below 1yr,Stationwagen,Owner,Unknown,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3.0,Changing lane to the left,Serious Injury
2024-10-05 10:00:00,Thursday,Unknown,Male,Writing & reading,5-10yr,Automobile,Owner,Above 10yr,Unknown,Industrial areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,Passenger,Female,18-30,3.0,Getting off the vehicle improperly,Serious Injury
